/vehicle/sensor/steering_report [1723106159154776238]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=973008913), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159164704394]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=983014559), steering_tire_angle=0.001727877650409937)
/vehicle/sensor/steering_report [1723106159174754422]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018187, nanosec=993031660), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106159184813072]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=3013929), steering_tire_angle=0.002303836867213249)
/vehicle/sensor/steering_report [1723106159194710930]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=13014194), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159204641179]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=23010818), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159215661750]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=33016267), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159224793896]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=43014751), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159234740712]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=53012734), steering_tire_angle=0.0005759592168033123)
/vehicle/sensor/steering_report [1723106159259892336]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=63014984), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159261611190]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=73012941), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159265562310]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=83011423), steering_tire_angle=0.0011519184336066246)
/vehicle/sensor/steering_report [1723106159274700216]: msgs.msg.SteeringReport(stamp=builtin_interfaces.msg.Time(sec=1705018188, nanosec=93051611), steering_tire_angle=0.0005759592168033123)
